X,Y,Depth_km
-127.3573452,48.91469142,-5
-126.9102257,48.53190735,-5
-126.6390747,48.26004295,-5
-126.4793771,48.06590568,-5
-126.3744622,47.86992418,-5
-126.2578555,47.60569209,-5
-126.1878744,47.36921221,-5
-126.1074906,47.17763479,-5
-125.9869218,46.91781849,-5
-125.9204575,46.79060182,-5
-125.837889,46.6066288,-5
-125.7676187,46.45068023,-5
-125.7285956,46.3206601,-5
-125.6843802,46.18373457,-5
-125.6375927,45.99056344,-5
-125.5643347,45.6166125,-5
-125.5322009,45.25550428,-5
-125.4920662,44.38354212,-5
-125.4776662,44.0155336,-5
-125.4560048,43.58605598,-5
-125.3973406,43.10403602,-5
-125.3679283,42.87141457,-5
-125.3079525,42.58157672,-5
-125.2175499,42.19961819,-5
-125.1060757,41.80742936,-5
-125.0402345,41.49203173,-5
-125.0088673,41.27004713,-5
-125.0206654,41.08042829,-5
-125.0263995,40.95315581,-5
-124.9793341,40.73314882,-5
-124.9761119,40.59481967,-5
-124.9969127,40.4823607,-5
-125.0219013,40.41568645,-5
-124.7996423,40.3929125,-10
-124.7556212,40.58883122,-10
-124.7323758,40.74204218,-10
-124.6961064,40.89968006,-10
-124.6602338,40.98278804,-10
-124.5881354,41.08885513,-10
-124.5557181,41.22251205,-10
-124.5384405,41.36863309,-10
-124.5889817,41.68264899,-10
-124.6719273,42.0624821,-10
-124.7250199,42.34644964,-10
-124.7857612,42.7423686,-10
-124.8306904,43.07531198,-10
-124.8512874,43.31262295,-10
-124.8704223,43.83467784,-10
-124.8797854,44.2266599,-10
-124.8764142,44.73001555,-10
-124.8705708,44.90046786,-10
-124.8854962,45.12434909,-10
-124.908344,45.45416098,-10
-124.9597041,45.89403948,-10
-125.0189573,46.32806898,-10
-125.036218,46.47706184,-10
-125.0712958,46.6065041,-10
-125.1049033,46.73509286,-10
-125.1645359,46.91019485,-10
-125.2163541,47.04951768,-10
-125.2701254,47.16934327,-10
-125.334807,47.29939148,-10
-125.3995628,47.41988137,-10
-125.5206119,47.61962486,-10
-125.7074761,47.90300105,-10
-125.8313182,48.07856527,-10
-125.973294,48.24940889,-10
-126.1312504,48.41134611,-10
-126.3415197,48.58444115,-10
-126.5147733,48.72073889,-10
-126.8133078,48.93652287,-10
-127.0456899,49.10036444,-10
-127.6991498,49.86408707,-15
-127.2098277,49.5074273,-15
-126.3947604,48.96983783,-15
-125.9648646,48.68211837,-15
-125.7262187,48.50369316,-15
-125.6339384,48.42669267,-15
-125.5367934,48.30377335,-15
-125.363969,48.04591828,-15
-125.2119069,47.7482672,-15
-125.0748887,47.52462068,-15
-125.0002533,47.40869793,-15
-124.9163383,47.25906108,-15
-124.8444908,47.10772587,-15
-124.7676535,46.95030355,-15
-124.7030182,46.74709242,-15
-124.6391472,46.55078825,-15
-124.613221,46.39642485,-15
-124.5535114,45.99347309,-15
-124.5389034,45.62534783,-15
-124.5300594,45.16341096,-15
-124.5376789,44.76977572,-15
-124.5394259,44.3939231,-15
-124.5392712,44.08664468,-15
-124.5392079,43.77608942,-15
-124.5239175,43.49448325,-15
-124.5131437,43.25223541,-15
-124.4560158,42.73147539,-15
-124.4186133,42.49491161,-15
-124.3337904,42.05492805,-15
-124.2426712,41.70212828,-15
-124.1889581,41.50335875,-15
-124.1749365,41.37210353,-15
-124.1958244,41.23710111,-15
-124.2482035,41.07859943,-15
-124.3895089,40.82560795,-15
-124.4977156,40.6507261,-15
-124.5494146,40.56398912,-15
-124.5932475,40.4606434,-15
-124.6414481,40.35249985,-15
-124.4199822,40.29679559,-20
-124.3155226,40.37199568,-20
-124.2232498,40.41643122,-20
-123.9524582,40.50862154,-20
-123.7984652,40.57341618,-20
-123.6970793,40.64978496,-20
-123.6421934,40.73436821,-20
-123.6225769,40.83661697,-20
-123.6386909,40.95166399,-20
-123.6844756,41.07599948,-20
-123.7974518,41.30251601,-20
-123.8947246,41.54798217,-20
-123.9182203,41.62401986,-20
-123.9661256,41.76385223,-20
-124.0425567,42.08202303,-20
-124.0820183,42.29589363,-20
